1) byfreeshock =>  by free shock
766) developmentofananalyticalrelationbetweenshockdetachment =>  development of an analytical relation between shockdetachment
767) formexpressionsandtablescomposedfromtheseexpressionsare =>  form expressions and tables composed from these expressions are
768) thisnotedescribesthemannerinwhichtheonsetoftheeffectsof =>  this noted e s
769) anapproximatetheoryofairfoilsinunsteadymotioninaviscous =>  an approximate theory of airfoils in unsteady motion in a viscous
770) thelinearisedtheoryofthinwingsisusedtocalculatepressure =>  the linearised theory of thin wings is used to calculate pressure
771) asimpleexpressionisderivedforthenormalinjectionvelocity =>  as im p lee x press ion is derived forth e normal injection velocity
772) approximateformulaeofthedisplacementthicknessandtheskin =>  approximate formulae of the displacement thickness and the skin
773) thesubsonicpotentialflowofacompressiblefluidpastasphere =>  the subsonic potentialflow of a compressible fluid past as ph er e
774) theresponseofasectionoftailplanestructuretobothdiscrete =>  there s p on s e of as e
775) aninvestigationhasbeenmadeofthepossibilityofcorrelating =>  an investigation has been made of the possibility of correlating
776) thispaperpresentstheresultsofaninvestigationconductedin =>  this paper presents there s u l t so fan investigation conducted in
777) integrationofthevelocityprofileatthethroatofaflownozzle =>  integration of the velocity profile at the throat of a flown o z z l e
778) analysisoftheinfluencevariousaerodynamicparametershaveon =>  analysis of the influence various aerodynamic parameters have on
779) theresultsarepresentedforaflighttestprogramusingafighter =>  there s u l t s are presented for a flight test program using a fighter
780) accurateexperimentaldataaregivenontheshapeandthelocation =>  accurate experimental data are given on the shape and the location
781) adiabaticwalltemperaturesandrecoveryfactorsarecalculated =>  adiabatic wall temperatures and recovery factors are calculated
782) thefirstpartofthepaperdealswiththelowspeedaerodynamicsof =>  the first part of the paper deals with the lowspeed aerodynamics of
783) thepresentworkisconcernedwiththedeterminationoftransient =>  the present work is concerned with the determination of transient
784) ananalysisispresentedfordeterminingthecollapseofcircular =>  an analysis is presented for determining the collapse of circular
785) existingconfigurationsofsupersonicportionofrocketnozzles =>  existing configurations of supersonic portion ofr oc k et nozzles
786) equationsbasedonnewtonianimpacttheoryhavebeenderivedanda =>  equations based on newtonian impact theory have been derived and a
787) theviscoustransversecurvatureeffectincompressibleaxially =>  the viscous transverse curvature effect incompressible axially
788) experimentalconfirmationhasbeenrequiredthatinasupersonic =>  experimental confirmation has been required that in as up er sonic
789) theproblemofdeterminingthestabilityofcompressibleviscous =>  the problem of determining the stability of compressible viscous
790) asupersoniccompressordesignhavingsupersonicvelocityatthe =>  as up er sonic compressor design having supersonic velocity at the
791) secondapproximationforthepropagationandstructureofablast =>  second approximation forth e propagation and structure of ab last
792) thesimilaritylawsforaerothermoelastictestingarepresented =>  the similarity laws for aerothermoelastic testing are presented
793) ontheassumptionthattheforcedmodesofvibrationofastructure =>  on the assumption that the forced modes of vibration of as tr u
794) thisaddendumprovidesashortnoteontwoaspectsomittedfromthe =>  this addendum provides as h or tn o t e on two aspects omitted from the
795) thetheoreticalestimationofthebucklingstrengthofacylinder =>  the theoretical estimation of the buckling strength of a cylinder
796) machnumberandflowangledistributionsintheworkingsectionof =>  machnumber and flow angle distributions in the workingsection of
797) hypersonicviscousflowoveraninsulatedflatplatewithsurface =>  hypersonic viscous flow over an insulated flatplate with surface
798) thelinearizedequationsofmotionhavebeenderivedforarolling =>  the linearized equations of motion have been derived for a rolling
799) timehistoriesofnoisepressuresneargroundlevelweremeasured =>  time histories of noise pressures near ground level were measured
800) theboundarylayerbehindashockorthinexpansionwaveadvancing =>  the boundarylayer behind as h oc ko rt h in expansion wave advancing
801) thenonlinearlargedeflectionequationsofvonkarmanforplates =>  then on linear large deflection equations of von karman for plates
802) atheoreticalinvestigationofthevelocityprofilesforlaminar =>  at he or et i cal investigation of the velocityprofiles for laminar
803) representativeapplicationsaredescribedwhichillustratethe =>  representative applications are described which illustrate the
804) themotionofthetrailingvorticesassociatedwithaliftingwing =>  them o tion of the trailing vortices associated with al if ting wing
805) anaccountisgivenofthehighsupersonicspeedtunnelnownearing =>  an account is given of the high supersonic speed tunnel now nearing
806) astudyismadeofthesteadylaminarflowofacompressibleviscous =>  as t u dy is made of the steady laminar flow of a compressible viscous
807) thefrictionalforceonacylindermovingsteadilyparalleltoits =>  the frictional force on a cylinder moving steadily parallel to its
808) authorinvestigatestheexistenceofaclassofsimilarsolutions =>  author investigates the existence of a class of similar solutions
809) thethreepartialdifferentialequationsofthelaminarboundary =>  the three partial differential equations of the laminarboundary
810) amodifiedparaboliccurveappearstobeincloseproximitytothat =>  a modified parabolic curve appears to be in close proximity to that
811) thevapourscreenmethodofflowvisualisationinsupersonicwind =>  the vapour screen method off low visualisation in supersonic wind
812) thispaperpresentstheresultsofanexperimentalinvestigation =>  this paper presents there s u l t so fan experimental investigation
813) severalslenderwingsofdeltaplanformwithsharpedgeshavebeen =>  several slender wings of delta planform with sharpedge s have been
814) thetransformationofthecompressibleturbulentboundarylayer =>  the transformation of the compressible turbulent boundarylayer
815) analysisismadeoftheflowfieldproducedbyobliqueimpingement =>  analysis is made of the flow field produced by oblique impingement
816) thevariousdifferencepatternsnecessaryforfinitedifference =>  the various difference patterns necessary for finitedifference
817) astudywasmadeofthelaminarcompressibleboundarylayerinduced =>  as t u dy was made of the laminar compressible boundarylayer induced
818) someillustrationsofthedifferencesthatmaybeexpectedbetween =>  some illustrations of the differences that may be expected between
819) interferometricmeasurementsweremadeofthedensityprofilesof =>  interferometric measurements were made of the density profiles of
820) theleadingedgesandnosesofhypersonicvehiclesaresubjectedto =>  the leadingedge sand noses of hypersonic vehicles are subjected to
821) stressandstraindistributionswerestudiedinlongflatplatesin =>  stress and strain distributions were studied in long flatplate sin
822) alargeamountofworkonconicalflowfieldswithoutaxialsymmetry =>  al a r g e amount of work on conical flow fields without axial symmetry
823) asolutiontosecondorderinthicknessisderivedforharmonically =>  as o l u tion to secondorder in thickness is derived for harmonically
824) amethodisgivenforobtainingthesolutionofthelaminarboundary =>  a method is given for obtaining the solution of the laminarboundary
825) variousapproximationsarebeingsuggestedforobtainingsurface =>  various approximations are beings u g g e s t e d for obtaining surface
826) anexperimentalinvestigationwasmadeofthepressuresinducedon =>  an experimental investigation was made of the pressures induced on
827) itisshownthattherotationalstiffnessofacrossedflexurepivot =>  it is shown that the rotational stiffness of across e d flexure pivot
828) anumericalsolutionoftheinviscidflowfieldaboutslenderblunt =>  an u m er i cal solution of the inviscidflow field about slender blunt
829) thatthevelocitypotentialforthesubsonicflowofacompressible =>  that the velocity potential forth e subsonic flow of a compressible
830) thepresentarticledescribesaninvestigationofseveraltypesof =>  the present article describes an investigation of several types of
831) itiswellknownthataccordingtoclassicalhydrodynamicsasteady =>  it is wellknown that according to classical hydrodynamics as t e a dy
832) aseriesofexperimentswasperformedtodefinetheflowfieldonthe =>  as er i e so f experiments was performed to define the flow field on the
833) authorshowsthatthedifferentialequationsdefiningtheminimum =>  authors how s that the differential equations defining them in im u m
834) thisreportpresentstheresultsofanexperimentalinvestigation =>  this report presents there s u l t so fan experimental investigation
835) photothermoelasticexperimentswereperformedonalongmultiweb =>  photothermoelastic experiments were performed on along multiweb
836) theproblemofsolvingasymptoticdevelopmentsforallquantities =>  the problem of solving asymptotic developments for all quantities
837) followingisananalyticalmethodfordesigningashroudwhichwill =>  following is an analytical method for designing as h r o u d which will
838) representativeresultsarepresentedtoshowthecurrentstatusof =>  representative results are presented to show the currents t at us of
839) amethodformakinganapproximatethicknesscorrectiontoslender =>  a method form akin g an approximate thickness correction to slender
840) experimentalpanelflutterdatahavebeenobtainedatmachnumbers =>  experimental panel flutter data have been obtained atm a
841) thepaperdealswiththegeneralequationsforthevibrationofthin =>  the paper deals with the general equations forth e vibration of thin
842) aerodynamicstiffnessanddampingderivativeshavebeenmeasured =>  aerodynamics t if f n e s sand damping derivatives have been measured
843) thecroccotransformationcombinedwithamanglertransformation =>  the crocco transformation combined with a mangler transformation
844) theshocktubeisshowntobeafeasibleresearchtoolforconducting =>  the shock tube is shown to be a feasible research tool for conducting
845) theflutterproblemofflatcircularpanelswithedgeselastically =>  the flutter problem off la t circular panels with edges elastically
846) anestimateisgivenofthedistributionofskinfrictionalforceper =>  an estimate is given of the distribution of skinfriction al force per
847) sincetheconventionalelasticanalysisofthermalstressproblems =>  since the conventional elastic analysis of thermal stress problems
848) resultsarepresentedofaninvestigationtodeterminetheeffectof =>  results are presented of an investigation to determine the effect of
849) overarangeofincidencesonthreesimplemodelsrepresentingthick =>  over a range of incidences on three simple models representing thick
850) therequirementsforsimulatinginawindtunnelflutterconditions =>  there q u i re m e n t s for simulating in a windtunnel flutter conditions
851) relatestoatechniqueforapproximatedeterminationoftheinitial =>  relates to at e
852) somerecenttheoreticalworkonslenderpointedwingsatzeroliftis =>  some recent theoretical work on slender pointed wings at zerolift is
853) theproblemofinvestigatingthesimultaneouseffectsoftransient =>  the problem of investigating the simultaneous effects of transient
854) inviewoftherecentcontroversybetweenliandglauertonthenature =>  in view of there cent controversy between li and glauert on then at u re
855) aninvestigationwasmadetodeterminethesmallestsizeofisolated =>  an investigation was made to determine the smallest size of isolated
856) asummaryisgivenofsomeofthemoreimportantexperimentalresults =>  as u mm ary is given of some of them or e important experimental results
857) thedevelopmentoftheflowpatternonasweptwingwithincidenceand =>  the development of the flow pattern on as we p twin gw it h incidence and
858) theaerodynamicstabilityderivativesduetopitchingvelocityand =>  the aerodynamics tab i li t y derivatives due top it
859) theimportanceofbodyliftliesinthefactthatatmoderateanglesof =>  the importance of body lift lies in the fact that atm o de rate angles of
860) inthecourseofalargersurveyofsomeaerodynamiccharacteristics =>  in the course of al a r g er survey of some aerodynamic characteristics
861) chartshavebeenpreparedrelatingthethermodynamicpropertiesof =>  charts have been prepared relating the thermodynamic properties of
862) liftfunctionsforwingsoffiniteaspectratiohavebeencalculated =>  lift functions for wings off in it e aspectratio have been calculated
863) theeffectofairdragonsatelliteorbitsofeccentricityelessthan =>  the effect of air drag on satellite orbits of eccentricity e less than
864) adislocationclimbcreepmodelisconsideredwhichdoesnotrequire =>  a dislocation climb creep model is considered which does not require
865) areviewispresentedofthepublisheddataontheeffectofroughness =>  are view is presented of the published data on the effect ofr o u g h n e s s
866) thisreportconsidersthelossofflexuralrigidityofathinwingdue =>  this report considers the loss off l e x u r al rigidity of at h in wing due
867) thispaperisconcernedwithatheoreticalinvestigationoftheflow =>  this paper is concerned with at he or et i cal investigation of the flow
868) asublayerregionisintroducedinwhichtheintensityofturbulence =>  as u b layer region is introduced in which the intensity of turbulence
869) parkesandspragueandhuanghaveshownthatitispossibleforstrain =>  parkes and sprague and huang have shown that it is possible for strain
870) anintegralequationforobtainingtheunsteadyairforcesonfinite =>  an integral equation for obtaining the unsteady airforces on finite
871) ithasbeenshownbyludwiegthatthewallshearingstressofalaminar =>  it has been shown by ludwieg that the walls he a rings tr e s so f al a m in a r
872) generallyacceptedsolutionsfortheproblemsofhypersonicflight =>  generally accepted solutions forth e problems of hypersonic flight
873) anasymptoticexpressionisfoundfortheliftdistributiononalong =>  an asymptotic expression is found forth e lift distribution on along
874) atheoryisdevelopedofthesupersonicflowpastabodyofrevolution =>  at he or y is developed of the supersonic flow past ab o dy ofr e v o l u tion
875) theequationsofmotionofcompressibleviscousflowwithvanishing =>  the equations of motion of compressible viscous flow with vanishing
876) anexperimentalinvestigationwasmadeofthepressuresinducedona =>  an experimental investigation was made of the pressures induced on a
877) theoreticalaspectsinvolvedinthepredictionofstresslevelsfor =>  theoretical aspects involved in the prediction of stress levels for
878) abriefdescriptionoftheslottedlinersusedisgiventogetherwith =>  ab r i e fd e s
879) inthepresentpaperashortsurveywillbegivenfirstofthebuckling =>  in the present paper as h or t survey will be given first of the buckling
880) analyticsolutionsarepresentedforthetransientheatconduction =>  analytic solutions are presented forth et r an s i e nth e at conduction
881) aninvestigationwasmadeatsubsonicspeedsinthelangleyhighspeed =>  an investigation was made at subsonic speeds in the langley highspeed
882) anextensionofworkoflockandrogersandtheresultofcooperationby =>  an extension of work of lock and rogers and there s u l to f cooperation by
883) theauthorsgivetheexactsolutionforthethermaldistributionsfor =>  the authors give the exact solution forth et he rm al distributions for
884) themethodisbasedontheobservationofthedivergencethatoccursin =>  them et h o d is based on the observation of the divergence that occurs in
885) theflexuralvibrationsofthewallsofthincylindersareconsidered =>  the flexural vibrations of the walls of thin cylinders are considered
886) experimentalstudiesofpanelflutterwereconductedatamachnumber =>  experimental studies of panel flutter were conducted at a machnumber
887) ashallowsphericaldomesubjectedtolateralpressureisastructure =>  as hall o w spherical domes u b j e
888) asimilarsolutionofthehypersonicviscousflowpastslenderbodies =>  as im i la r solution of the hypersonic viscous flow past slender bodies
889) thispaperdealswithtwolimitingcasesoflaminarheattransferover =>  this paper deals with two limiting cases of laminar heattransfer over
890) thisnotecollectstogetherinonereportavailabletheoreticalwork =>  this note collects together in one report available theoretical work
891) thecorrectdesignofintermediateverticalstiffenersonwebplates =>  the correct design of intermediate vertical stiffeners on web plates
892) twoimportantfeaturesofhypersonicflowoverslenderorthinbodies =>  two important features of hypersonic flow over slender or thin bodies
893) anaccountisgivenofexplicitsolutionsintermsofmathieufunction =>  an account is given of explicit solutions inter ms of mathieu function
894) amethodispresentedfortherapidcalculationoftheincompressible =>  a method is presented forth er a p i d calculation of the incompressible
895) measuredpressuredistributionsonconesarecomparedwithmodified =>  measured pressuredistribution so n cones are compared with modified
896) thispaperconsiderstheproblemofcalculatingviscousaerodynamic =>  this paper considers the problem of calculating viscous aerodynamic
897) aninvestigationoftheeffectsofaerodynamicheatingontheflutter =>  an investigation of the effects of aerodynamic heating on the flutter
898) authorsextendvariationalprincipleofbiottovariouscasesofheat =>  authors extend variational principle of biot to various cases of heat
899) themainpurposeofthisinvestigationistoexaminethedependenceof =>  them a in purpose of this investigation is to examine the dependence of
900) thevariationalandlagrangianthermodynamicsdevelopedinearlier =>  the variational and lagrangian thermodynamics developed in earlier
901) sponsoredanalysisoftheunsteadyperturbationsoftwodimensional =>  sponsored analysis of the unsteady perturbations of twodimensional
902) thispaperpresentsananalysisofthedeflectionsofandstressesina =>  this paper presents an analysis of the deflections of and stresses in a
903) thisreportdescribesamethodwhichhasbeendevelopedformeasuring =>  this report describes a method which has been developed form e as u ring
904) adetaileddescriptionisgivenofamethodofapproximatingsolutions =>  a detailed description is given of a method of approximating solutions
905) thenonviscousincompressibleflowthroughatypicalpumpimpelleris =>  then on viscous incompressible flow through at y p i cal pump impeller is
906) thetotalliftresponsesofwingstosinusoidalgustsandtosinusoidal =>  the total lift responses of wings to sinusoidal gusts and to sinusoidal
907) thebasicproblemsoffluttertestinginthelowsupersonicspeedrange =>  the basic problems off l u t t er testing in the low supersonic speed range
908) amethodisdescribedformeasuringthedynamicstabilityderivatives =>  a method is described form e as u ring the dynamics tab i li t y derivatives
909) amethodispresentedforanalysisofthecompressibleflowbetweenthe =>  a method is presented for analysis of the compressibleflow between the
910) thelaminarjetmixingproblemswithheatreleasehavebeenformulated =>  the laminar jet mixing problems with heat release have been formulated
911) energyexpressionsandtherelatedequilibriumequationsandnatural =>  energy expressions and there late de q u i li b r i u m equations and natural
912) amethodofcalculatingthetotalquantityofheatthatpassesthrougha =>  a method of calculating the total quantity of heat that passes through a
913) thecompressibilitytransformationfirstintroducedbydorodnitzyn =>  the compressibility transformation first introduced by dorodnitzyn
914) theflowofanidealdissociatinggasthroughanearlyconicalnozzleis =>  the flow of an ideal dissociating gas through an early conical nozzle is
915) aninvestigationhasbeenconductedinthelangleypropellerresearch =>  an investigation has been conducted in the langley propellerresearch
916) subsonicspanloadsandtheresultingstabilityderivativeshavebeen =>  subsonic span loads and there s u l ting stability derivatives have been
917) thermalstressdistributionsinuniformcircularcylindricalshells =>  thermal stress distributions in uniform circularcylindrical shells
918) inconnectionwithastudyofthewakesbehindbodiesinhypersonicflow =>  in connection with as t u dy of the wakes behind bodies in hypersonic flow
919) chartsofthermodynamicpropertiesforequilibriumairarepresented =>  charts of thermodynamic properties fore q u i li b r i u m air are presented
920) planeandaxisymmetrichypersonicgasflowsareconsideredwithshock =>  plane and axisymmetric hypersonic gas flows are considered with shock
921) experimentsoftransonicflowpastacirculararcprofileshowthatthe =>  experiments of transonic flow past a circular arc profiles how that the
922) descriptivetheoryofdeformationhasbeendevelopedindetailforthe =>  descriptive theory of deformation has been developed in detail forth e
923) aninvestigationhasbeenmadetodeterminejeteffectsoncylindrical =>  an investigation has been made to determine jet effects on cylindrical
924) theboundarylayeronaslenderbodytendstobeverythickathypersonic =>  the boundarylayer on as lend er body tends to be very thick at hypersonic
925) anattempthasbeenmadetoidentifythesignificantfactorsgoverning =>  an attempt has been made to identify the significant factors governing
926) aninvestigationwasmadetodeterminethecombinedeffectsofsurface =>  an investigation was made to determine the combined effects of surface
927) themeasurementofrocketexhausteffectsonvehiclestabilityandthe =>  them e as u re m e n to f rocket exhaust effects on vehicles tab i li t y and the
928) theinteractionbetweenshockwavesandboundarylayershasimportant =>  the interaction between shockwaves and boundarylayer s has important
929) followingamajorassumptionthatenthalpyandvelocityaredependent =>  following a major assumption that enthalpy and velocity are dependent
930) thispaperreviewssomeoftheexperiencetodateofusingsandwichtype =>  this paper reviews some of the experience to date of using sandwich type
931) anexactanalyticalsolutionoftheequationsofinviscidcompressible =>  an exact analytical solution of the equations of inviscid compressible
932) aformulaforthevelocityfieldintermsofagivensurfacedistribution =>  a formula forth e velocity field inter ms of a given surface distribution
933) arapidapproximatemethodforthedesignofcentrifugalcompressorsof =>  a rapid approximate method forth e design of centrifugal compressors of
934) anexperimentalinvestigationhasbeenmadetoindicatethevalidityof =>  an experimental investigation has been made to indicate the validity of
935) thehypersonicsimilaritylawasderivedbytsienhasbeeninvestigated =>  the hypersonic similarity law as derived by tsien has been investigated
936) severalbluntbodieshavingshapesthatmaybesuitableforatmospheric =>  several blunt bodies having shapes that may be suitable for atmospheric
937) thereciprocalequationsforrelatingtheincompressiblecirculatory =>  there
938) amodelisanalyzedwhichexhibitstheimportantpropertiesassociated =>  a model is analyzed which exhibits the important properties associated
939) somediscussionoftheacousticfatigueproblemofaircraftstructures =>  some discussion of the acoustic fatigue problem of aircraft structures
940) themotionofanincompressibleviscousfluidgeneratedbyacylinderof =>  them o tion of an incompressible viscous fluid generated by a cylinder of
941) directpitchingmomentderivativeshavebeenmeasuredusingthemethod =>  direct pitchingmoment derivatives have been measured using them et h o d
942) ageneralisedconicalflowtheoryisusedtodeduceanintegralequation =>  age n er al is e d conical flow theory is used to deduce an integral equation
943) theoriginalpapergaveacorrelationformulaforstagnationpointheat =>  the original paper gave a correlation formula for stagnationpoint heat
944) thepresentpaperdescribesamethodfortheapproximatesolutionofthe =>  the present paper describes a method forth e approximates o l u tion of the
945) aninvestigationhasbeenconductedatvariousreynoldsnumbersandlow =>  an investigation has been conducted at various reynolds numbers and low
946) representativeexperimentalresultsarepresentedtoshowthecurrent =>  representative experimental results are presented to show the current
947) streamofviscousincompressiblefluidoveranotheratrestisextended =>  stream of viscous incompressible fluid over another at rest is extended
948) thetheorypreviouslydevelopedforthechangesintheperigeedistance =>  the theory previously developed forth e changes in the perigee distance
949) ageneralanalyticalprocedureisoutlinedforstructuressubjectedto =>  age n er al analytical procedure is outlined for structures subjected to
950) thispaperisapreliminaryandbriefaccountofsomeresearchcurrently =>  this paper is a preliminary and brief account of some research currently
951) detailsaregivenofaprogrammeoftestsbeingmadeonsimilarsweptwing =>  details are given of a programme of tests being made on similar sweptwing
952) theequationsofmotionofatumblingflatplateenteringanexponential =>  the equations of motion of at u m b lin g flatplate entering an exponential
953) themethodpreviouslydescribedhasbeenrefinedbytakingintoaccount =>  them et h o dp rev i o us l y described has been refined by taking into account
954) ananalyticalmethodforthedeterminationofeffectofshockcurvature =>  an analytical method forth e determination of effect of shock curvature
955) atmosphericdensitieshavebeenderivedfromartificialsatellitesin =>  atmospheric densities have been derived from artificial satellites in
956) ontheassumptionofinfinitelysmalldisturbancestheauthordevelops =>  on the assumption of infinitely small disturbances the author develops
957) thestressesintheplasticrangearoundanormallyloadedcircularhole =>  the stresses in the plastic range around an or m all y loaded circular hole
958) theboundarylayerequationsforuniformflowparalleltothegenerators =>  the boundarylayer equations for uniform flow parallel to the generators
959) astudyismadeoftheadvantagesthatcanberealizedincompressibleflow =>  as t u dy is made of the advantages that can ber e al i z e d incompressible flow
960) thisreportdescribesanexperimentalinvestigationoftheequivalence =>  this report describes an experimental investigation of the equivalence
961) anumberofauthorshaveconsideredtheeffectofslipontheheattransfer =>  an u m ber of authors have considered the effect of slip on the heattransfer
962) thispaperconsiderstheimplicationsofrecentadvancesinknowledgeof =>  this paper considers the implications ofr e cent advances ink now led g e of
963) thelaminarflowofaviscousincompressiblefluidoveratwodimensional =>  the laminar flow of a viscous incompressible fluid over at w o dimensional
964) toinvestigatethetheoreticalpredictionsoflighthillonaerodynamic =>  to investigate the theoretical predictions of lighthill on aerodynamic
965) thispaperdiscussesthebasicprinciplesemployedintechniquesforthe =>  this paper discusses the basic principles employed in techniques forth e
966) theindicialliftandmomentfunctionsaredeterminedapproximatelyfor =>  the indicial lift and moment functions are determined approximately for
967) theapproximatetheoryofflowaboutslenderbodiesandwingsoriginated =>  the approximate theory off low about slender bodies and wings originated
968) determinethestaticlongitudinalstabilitycharacteristicsofamodel =>  determine the static longitudinal stability characteristics of a model
969) thedynamicbehavioroftwoprobevehiclesenteringamartianatmosphere =>  the dynamic behavior of two probe vehicles entering a martian atmosphere
970) theeffectofvorticityonaxisymmetricstagnationpointboundarylayer =>  the effect of vorticity on axisymmetric stagnationpoint boundarylayer
971) testswereconductedatthelangleyresearchcenterontwowingedlifting =>  tests were conducted at the langley research center on two winged lifting
972) thestaticaeroelasticstabilityordivergenceproblemisinvestigated =>  the static aeroelastic stability or divergence problem is investigated
973) extensivetablesaregivenofpressurecoefficientsmeasuredatreynolds =>  extensive tables are given of pressure coefficients measured at reynolds
974) thefreeoscillationsofathinpressurizedcylindricalshellcontaining =>  the free oscillations of at h in pressurized cylindrical shell containing
975) someexperimentalandtheoreticalstudieshavebeenmadeofaxisymmetric =>  some experimental and theoretical studies have been made of axisymmetric
976) adiscussionofdifferencesarisingbetweenexperimentalandanalytical =>  a discussion of differences arising between experimental and analytical
977) theflowandheattransferaboutarotatingisothermaldiskarereexamined =>  the flow and heattransfer about a rotating isothermal disk are reexamined
978) thesubjectofmatricstructuralanalysishasbeentreatedintworecently =>  the subject of matric structural analysis has been treated in two recently
979) theincompressibleflowofanelectricallyconductingfluidpastaporous =>  the incompressible flow of an electrically conducting fluid past a porous
980) theresultsofapreliminaryexperimentalinvestigationtodeterminethe =>  there s u l t so f a preliminary experimental investigation to determine the
981) thedeterminationofthenaturalfrequenciesandnormalmodesofvibration =>  the determination of then at u r al frequencies and normal modes of vibration
982) theuseofstagecharacteristicsobtainedfromtestdataintheperformance =>  the use of stage characteristics obtained from test data in the performance
983) thisreporttreatsthekernelfunctionofanintegralequationthatrelates =>  this report treats the kernelfunction of an integral equation that relates
984) arapidapproximatemethodofanalysiswasdevelopedforbothcompressible =>  a rapid approximate method of analysis was developed for both compressible
985) statisticaltheoryingeneralconsidersmeanvaluesofcertainquantities =>  statistical theory ing e n er al considers mean values of certain quantities
986) hypersonicflowatlowreynoldsnumberisstudiedutilizingtheshocklayer =>  hypersonic flow at low reynolds number is studied utilizing the shocklayer
987) aninvestigationwasmadetodeterminetheinterferenceeffectsonsurface =>  an investigation was made to determine the interference effects on surface
988) thisnotepresentssomephysicalinterpretationsofmagnetohydrodynamic =>  this note presents some physical interpretations of magnetohydrodynamic
989) theconfluenthypergeometricfunctionshaveprovedusefulinmanybranches =>  the confluent hypergeometric functions have proved useful in many branches
990) theexperimentallydeterminedinteractioneffectsofasidejetexhausting =>  the experimentally determined interaction effects of aside jet exhausting
991) publishedexperimentalresultsareassembledtosupportapreviouslygiven =>  published experimental results areas s e m b led to support a previouslygiven
992) aninvestigationoftheeffectsoftheinteractionaheadofatwodimensional =>  an investigation of the effects of the interaction ahead of at w o dimensional
993) anumericalsolutionispresentedtothetransientheatconductionequation =>  an u m er i cal solution is presented to the transient heat conduction equation
994) thisnotegivesformulaeandapproximationssuitableformakingpreliminary =>  this note gives formulae and approximations suitable form akin g preliminary
995) incalculationsofthermodynamicheatingforhighspeedmissilesparameters =>  in calculations of thermodynamic heating for highspeed missiles parameters
996) problemsonheatconductioninmultilayerbodiesleadusuallytocomplicated =>  problems on heat conduction in multilayer bodies lead usually to complicated
997) astudyofexperimentalpressuredistributionsandsectioncharacteristics =>  as t u dy of experimental pressuredistribution sand section characteristics
998) designchartsbasedontheanalyticalsolutiontotheproblemofonedimensional =>  design charts based on the analytical solution to the problem of onedimensional
999) thestabilityofcircularcylindricalshellsunderpurebendingisinvestigated =>  the stability of circularcylindrical shells under pure bending is investigated
1000) acomparisonismadeofseveraldifferentpropulsionsystemsforinterplanetary =>  a comparison is made of several different propulsion systems for interplanetary
